,S.N.,Owner,Vehicle Number,Engine,Chasis,Branch ,MakeCompany,MakeModel
42,43,Worldlink Communications Ltd.,BA16CHA 4213,275IDI06FTYS68671,MAT445554GZF24825,Birgunj,Tata Motors,Tata Pickup
43,44,Worldlink Communications Ltd.,BA10CHA 28,GGC4F11384,MA1RU4GGAC3F41468,Enterprise office-Kunpondol,Mahendra ,Bolero Camper
44,45,Worldlink Communications Ltd.,Ba 16 Cha 4047,275IDI06FTYS70272,MAT445554GZG26590,Dang,Tata Motors,Tata Pickup
45,46,Worldlink Communications Ltd.,BA 16 CHA 4041,275IDI06FTYS70119,MAT445554GZF25790,Surkhet,Tata Motors,Tata Pickup
46,47,Worldlink Communications Ltd.,BA16CHA 4044,275IDI06FTYS67782,MAT445554GZF24192,Biratnagar,Tata Motors,Tata Pickup
47,48,Worldlink Communications Ltd.,BA15CHA 9537,F8BIN4912523,MA3EVB11S01702093,Gatthaghar,Maruti Suzuki,Omni Van
48,49,Worldlink Communications Ltd.,BA16CHA 1650,4913237,1702922,Balaju,Maruti Suzuki,Omni Van
49,50,Worldlink Communications Ltd.,BA13CHA 6252,GHF4G56896,MA1RU2GHKF3G32781,Balaju,Mahendra ,Bolero Camper
50,51,Worldlink Communications Ltd.,BA13CHA 6607,GHF4H62932,MA1RU4GHKF3H34029,kapan,Mahendra ,Bolero Camper
51,52,Worldlink Communications Ltd.,BA13CHA 6253,GHF4G55765,MA1RU2GHKF32856,battisputali,Mahendra ,Bolero Camper
52,53,Worldlink Communications Ltd.,BA7CHA 2357,6778897,JDAM300S001029902,Head office,Daihatsu,Sirion
53,54,Worldlink Communications Ltd.,BA8CHA 4160,GGA4F34656,GGAA3F73241,pepsicola,Mahendra ,Bolero Camper DC 4WD P/S
54,55,Worldlink Communications Ltd.,BA15CHA 6548,F8BIN-4904851,MA3EN131130-1694774,Kaldhara,Maruti Suzuki,Omni Van
55,56,Worldlink Communications Ltd.,Pradesh 3-01-024 cha 3745,VFL4J14568,MA1RC2VF2L2K40499,Region 6,Mahendra ,Scorpio 
56,57,Worldlink Communications Ltd.,Pradesh 3-01-024 cha 3744,VFL4H14967,MA1RC2VF2L2H32669,Region 2,Mahendra ,Scorpio 
57,58,Worldlink Communications Ltd.,BA.5CHA 3320,374483HUZE35768,497SP28HUZ87062,kusunti,Tata Motors,Tata Di
58,59,Worldlink Communications Ltd.,BA.10CHA 3819,NXY717740,HDCRGAW,kusunti,Tata Motors,Winger
59,60,Worldlink Communications Ltd.,STATE3-01-003 KA 5254,D68004293,MC1E1FJAXLP000544,kusunti,Force Motors,Travllers
60,61,Worldlink Communications Ltd.,STATE3-01-03 KA 5253,D68004248,MC1E1FJA9LP000549,kusunti,Force Motors,Travllers
61,62,Worldlink Communications Ltd.,BA.16CHA 5477,GHG4H61571,MA1R02GHICG3F88859,Kirtipur,Mahendra ,Bolero
62,63,Worldlink Communications Ltd., Pick UP/Pra 3-01-024 cha 5526,D60031241,MC1D1ACA3LP007355,Region-7,Force Motors,Trax Kargo King
63,64,Worldlink Communications Ltd.,BA.16CHA 8117,GHG4J56008,MA1RU2GHKG3J89562,Enterprise office-Baneshwor,Mahendra ,Bolero 
64,65,Worldlink Communications Ltd.,BA.16CHA 8116,GHG4H61569,MA1RU2GHKG3J89561,Dhungedhara,Mahendra ,Bolero 
65,66,Worldlink Communications Ltd.,BA.16CHA 8118,GHG4H61570,MA1RU2GHKG3J89563,Imadol,Mahendra ,Bolero
66,67,Worldlink Communications Ltd.,STATE3-01-023CHA 1544,4SPCR10KPY640628,MAT464329KSK12950,Region 5,Tata Motors,TATA XENON Yodha
67,68,Worldlink Communications Ltd.,Pradesh no:31-024 cha 5532,275IDI06NZXS81825,MAT445064LZR22714,Simara,Tata Motors,Tata Ace
68,69,Worldlink Communications Ltd.,Mahindra Scorpio Pickup DC 4WD S6/P3-01-024 Cha 6812,VFL4J1 4566,MA1RC4VF2L2K 40322,Region 7,Mahendra ,Scorpio
69,70,Worldlink Communications Ltd.,BA03-001CHA 267,1KD2378565,JTEBH9F40K133365,head office,Toyota,Prado
70,71,Worldlink Communications Ltd.,BA.9CHA 9611,2.2LDIC0R09051J09976,MAT614064CRD01461,head office,Tata Motors,Tata Arya
71,72,Worldlink Communications Ltd.,BA.12CHA 3346,4733435,1538162,Dholahiti,Maruti Suzuki,Omni Van
72,73,Worldlink Communications Ltd.,BA.12CHA 1384,4727550,1532444,Imadol,Maruti Suzuki,Omni Van
73,74,Worldlink Communications Ltd.,BA.18CHA 7310,GHH4K58876,MA1RU4GHKH3K90054,Kusma,Mahendra ,BOLERO CPR DC 4WD PS
74,75,Worldlink Communications Ltd.,BA.18CHA 7309,GHH4K59006,MA1RU4GHKH3K90050,Region-7 Nbu-5,Mahendra ,BOLERO CPR DC 4WD PS
75,76,Worldlink Communications Ltd.,P3-01-023CHA 2671,TBK4L82826,MA1RU4TBKK3L95712,Damak,Mahendra ,BOLERO CPR DC 4WD PS
76,77,Worldlink Communications Ltd.,P3-01-023CHA 2665,TBK4H82857,MA1RU2TBKK3H95649,kusunti,Mahendra ,BOLERO CPR DC 4WD PS
77,78,Worldlink Communications Ltd.,P3-01-023CHA 3346,TBK4H85364,MA1RU2TBKK3H90464,kusunti,Mahendra ,Bolero Camper
78,79,Worldlink Communications Ltd.,Ba.17Cha 795,N4932804,S01720677, Gatthaghar,Maruti Suzuki,Omni Van
79,80,Worldlink Communications Ltd.,Ba.17Cha 785,N4928384,S01716283,Baluwatar,Maruti Suzuki,Omni Van
80,81,Worldlink Communications Ltd.,Ba.16Cha 6928,N4915603,S01704978,Enterprise office-Kunpondol,Maruti,Omni
81,82,Worldlink Communications Ltd.,Ba.17Cha 801,N4933188,S01720697,Kapan,Maruti Suzuki,Omni Van
82,83,Worldlink Communications Ltd.,Ba.17Cha 798,N4931935,S01720684,Sitapaila,Maruti,Omni
83,84,Worldlink Communications Ltd.,Ba.17Cha 796,N4931534,S01720649,Bansbari,Maruti Suzuki,Omni Van
84,85,Worldlink Communications Ltd.,Ba.14Cha 1785,GHF4M61984,KG3A88162,Kalimati,Mahendra ,Bolero Camper
85,86,Worldlink Communications Ltd.,Ba.14Cha 1643,GHF4M66107,KG3A88641,Dholahiti,Mahendra ,Bolero Camper
86,87,Worldlink Communications Ltd.,Ba.14Cha 1780,GHF4M64252,KG3A88411,Baluwatar,Mahendra ,Bolero Camper
87,88,Worldlink Communications Ltd.,P3-01-023CHA 4135,275IDI06NPYSE8398,MAT445064KZR52145,Kusunti ,Tata Motors,Tata Ace
88,89,Worldlink Communications Ltd.,P3-01-023CHA 4136,275IDI06NPYSE8412,MAT445064KZR51930,Manbhawan,Tata Motors,Tata Ace
89,90,Worldlink Communications Ltd.,BA 12 CHA 6460,CLJ254677,WVGZZZ5N7EW090458,Lahan,,
90,91,Worldlink Communications Ltd.,Ba 5 Cha 5932,F8BIN 3619607,MA3EVB11500771811,Kusunti,Maruti Suzuki,Omni Van
91,92,Worldlink Communications Ltd.,Mahindra BOLERO CPR DC 4WD PS/P 3-01-024-CHA 9514,TBM4A77010,MA1RU4TBKM3A82387,Surkhet,Ma,Bolero Camper DC 4WD P/S
92,93,Worldlink Communications Ltd.,Mahindra BOLERO CPR DC 2WD PS/P 3-01-024 CHA 9512,TBM4A77014,MA1RU2TBKM3A80959,Lahan,Mahendra ,Bolero CPR DC 2WD PS
93,94,Worldlink Communications Ltd.,Mahindra PICKUP DC 2WD S6/ P3-01-024 Cha 9515,VFM4A12174,MA1RC2VF2M2A14187,Region 1,Mahendra ,Scorpio DC 2WD S6
94,95,Worldlink Communications Ltd.,Mahindra PICKUP DC 2WD S6/ P3-01-024 Cha 9518,VFM4A12197,MA1RC2VF2M2A14288,Region 3,Mahendra ,Scorpio DC 2WD S6
95,96,Worldlink Communications Ltd.,Mahindra PICKUP DC 2WD S6/P3-01-024 Cha 9516,VFL4M19981,MA1RC2VF2M2A14076,Region 4,Mahendra ,Scorpio DC 2WD S6
96,97,Worldlink Communications Ltd.,Mahindra PICKUP DC 2WD S6/P3-01-024 Cha 9517,VFL4M19887,MA1RC2VF2M2A14086,Region 5,Mahendra ,Scorpio DC 2WD S6
97,98,Worldlink Communications Ltd.,Ba.14Cha 1788,GHF4M62348,MAIRU2GHKG3A88258,Sallaghari,Mahendra ,Bolero
98,99,Worldlink Communications Ltd.,Ba.14Cha 1781,GHF4M4240,MAIRU2GHKE3A88412,Satungal,Mahendra ,Bolero
99,100,Worldlink Communications Ltd.,Ba.14Cha 1782,GHF4M64239,MAIRU2GHKG3A88413,Satungal,Mahendra ,Bolero
100,101,Worldlink Communications Ltd.,Ba.14Cha 4709,F8BIN-4864514,MA3EVBIIS01657766,Balaju,Maruti Suzuki,omni van
101,102,Worldlink Communications Ltd.,Ba.14Cha 3566,F8BIN-4862856,MA3EVBIIS0-1655952,Pepsicola,Maruti Suzuki,omni van
102,103,Worldlink Communications Ltd.,Ba.14Cha 4705,F8BIN-4864102,MA3EVBIIS0-1657443,Baluwatar,Maruti Suzuki,omni van
103,104,Worldlink Communications Ltd.,Mahindra BOLERO CPR DC 4WD PS/P 3-01-025 CHA 841,TBM4A80610,MA1RU4TBKM3A82359,Dharan,Mahendra ,Bolero CPR DC 4WD PS
104,105,Worldlink Communications Ltd.,BA.19CHA 1668,GHJ4B58977,MARU4GHKJ3B91753,KARNALI PROJECT,Mahendra ,Bolero CPR DC 4WD PS
105,106,Worldlink Communications Ltd.,BA.19CHA 1670,GHJ4B58965,MA1RU4GHKJ3B91748,KARNALI PROJECT,Mahendra ,Bolero CPR DC 4WD PS
106,107,Worldlink Communications Ltd.,BA 17 CHA 4657,275IDI06CSYS32751,MAT445554HZC11549,Butwal,Tata Motors,ACE Ace
107,108,Worldlink Communications Ltd.,BA 17 CHA 4655,275IDI06CSYS32482,MAT445554HZC11497,Biratnagar,Tata Motors,ACE Ace
108,109,Worldlink Communications Ltd.,BA 17 CHA 4658,275IDI06CSYS33067,MAT445554HZC11567,Butwal,Tata Motors,ACE Ace
109,110,Worldlink Communications Ltd.,BA 17 CHA 4656,275IDI06CSYS32758,MAT445554HZC11530,Janakpur,Tata Motors,ACE Ace
110,111,Worldlink Communications Ltd.,BA 17 CHA 4653,275IDI06CSYS32755,MAT445554HZC11461,Itahari,Tata Motors,ACE Ace
111,112,Worldlink Communications Ltd.,BA 17 CHA 4652,275IDI06CSYS31610,MAT445554HZC11207,Birtamod,Tata Motors,ACE Ace
112,113,Worldlink Communications Ltd.,BA 17 CHA 4654,275IDI06CSYS32480,MAT445554HZC11552,Hetauda,Tata Motors,ACE Ace
113,114,Worldlink Communications Ltd.,BA 7 CHA 8162,483D2TC4910C718126,MAT37408599P31997,Gathagar,Tata Motors,Telcoline
114,115,Worldlink Communications Ltd.,BA 17 CHA 4989,275IDI06CSYS31083,MAT445554HZC10913,Amarsingh,Tata Motors,ACE Ace
115,116,Worldlink Communications Ltd.,BA 17 CHA 4988,275IDI06CSYS31884,MAT445554HZC11221,Dhangadi,Tata Motors,ACE Ace
116,117,Worldlink Communications Ltd.,BA 17 CHA 4990,275IDI06CSYS31613,MAT445554HZC12267,Bhairahawa,Tata Motors,ACE Ace
117,118,Worldlink Communications Ltd.,BA11CHA 7618,2.2LDICORO9BVYJ002671,MAT617033ENB01361,head office,Tata Motors,SAFARI STORME LX
118,119,Worldlink Communications Ltd.,BA11CHA 8199,4708177,1580874,Boudha,Maruti Suzuki,Omni Van
119,120,Worldlink Communications Ltd.,BA15CHA 431,4888496,1679831,Baluwatar,Maruti Suzuki,Omni Van
120,121,Worldlink Communications Ltd.,Pra-3-01-022 cha 5661,4SPCR10CPY611421,MAT464329KSRO3320,Kusunti,Tata Motors,Xenon Yodha
121,122,Worldlink Communications Ltd.,Ga 2 cha 265,GHE4D65457,MA1RU4GHKE3D3134,Bagar,Mahendra ,Bolero
122,123,Worldlink Communications Ltd.,BA15CHA 568,GHG4B69997,MA1RU2GHKG3C91977,Kusunti,Mahendra ,Bolero
123,124,Worldlink Communications Ltd.,BA14CHA 8366,F8BIN4875751,MA3EVB1150.1668752,Enterprise office-Baneshwor,Maruti Suzuki,Omni Van
124,125,Worldlink Communications Ltd.,BA14CHA 8924,GHG4A62653,MA1RU2GHKG3B90427,Koteshwor,Mahendra ,Bolero
125,126,Worldlink Communications Ltd.,BA13CHA 3101,GHF4C59725,MA1RV4GHKF3C25003,Boudha,Mahendra ,Bolero
126,127,Worldlink Communications Ltd.,BA13CHA 2474,G4F1C22705,MA1ZC4GAKF1C32191,Kusunti ,Mahendra ,Bolero
127,128,Worldlink Communications Ltd.,Bagmati pradesh  01 028 cha 1837,TZ230XS56FJ22054557,MAT635013NLK13094,operation,Tata Motors,Nexon EV XZ+ LUX
